,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
ICPI3,ICPI3,ON,CIMENTO ITAU CORUMBA ON,,,0.00,,0.00,0.00,0,0,-,2022-01-26,0,000,000,-,-,-,-,-,0.0%,-,-,-,000,000,-,-,-,0.0%,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IDVL11,IDVL11,UNT N1,Indusval UNT N1,Intermediários Financeiros,Bancos,140.00,2007-07-23,0.00,0.00,0,14395100000,-,2020-09-30,102822000,-6600,6056,-,-,-,-,-,0.0%,-,-,-,-212,231,-,-,0.0%,0.0%,-,-91.8%,-,-,-,3958190000,,,,,237683000,,,-218097000,,,-13680000,166638000,2674290000,33340000,4056000,13984000,1180000
IDVL3,IDVL3,ON N1,Indusval ON N1,Intermediários Financeiros,Bancos,2.16,2020-12-30,1.86,2.95,0,222095000,-,2020-09-30,102822000,-102,093,-,-,-,-,-,0.0%,-,-,-,-212,231,-,-,0.0%,0.0%,-,-91.8%,-,-,-,3958190000,,,,,237683000,,,-218097000,,,-13680000,166638000,2674290000,33340000,4056000,13984000,1180000
IDVL4,IDVL4,PN N1,Indusval PN N1,Intermediários Financeiros,Bancos,2.67,2020-12-30,2.20,3.03,0,274535000,-,2020-09-30,102822000,-126,116,-,-,-,-,-,0.0%,-,-,-,-212,231,-,-,0.0%,0.0%,-,-91.8%,-,-,-,3958190000,,,,,237683000,,,-218097000,,,-13680000,166638000,2674290000,33340000,4056000,13984000,1180000
IENG3,IENG3,ON,INEPAR ENERGIA ON,Energia Elétrica,Energia Elétrica,0.15,2012-02-24,0.00,0.00,0,51631300,334324000,2011-09-30,344209000,-081,099,388,172,011,-117,-030,0.0%,2511,2511,8.1%,-019,015,48.8%,44.3%,-224.6%,2.8%,2.8%,-122.4%,085,545,006,469881000,1769000,245563000,284462000,282693000,52234000,30066000,13316000,-63937000,8261000,3885000,-4038000,,,,,,
IENG5,IENG5,PNA,INEPAR ENERGIA PNA,Energia Elétrica,Energia Elétrica,0.12,2012-02-24,0.00,0.00,0,41305100,323998000,2011-09-30,344209000,-065,079,310,137,009,-093,-024,0.0%,2433,2433,8.1%,-019,015,48.8%,44.3%,-224.6%,2.8%,2.8%,-122.4%,085,545,006,469881000,1769000,245563000,284462000,282693000,52234000,30066000,13316000,-63937000,8261000,3885000,-4038000,,,,,,
IFCM3,IFCM3,ON NM,INFRACOMM ON NM,Programas e Serviços,Programas e Serviços,14.52,2022-01-25,13.05,23.78,23418400,4040280000,3526060000,2021-09-30,278257000,000,438,-,-,269,852,1266,0.0%,-,-,-,000,331,-,-,-,0.0%,-,-,211,011,-,1503450000,611017000,901026000,96792000,-514225000,921548000,0,0,0,105118000,-9416000,-3808000,,,,,,
IGBR3,IGBR3,ON,GRADIENTE ON,Exploração de Imóveis,Exploração de Imóveis,20.60,2022-01-25,14.50,182.99,304630,25750000,545202000,2021-06-30,1250000,-028,-003,-027,516,020,-006,-002,0.0%,-593,-578,-4.2%,-7356,-82080,99.7%,-1890.2%,-1844.2%,-72.9%,-80.0%,9.0%,003,-051,004,129342000,5256000,11436000,524708000,519452000,-1026000000,4986000,-94245000,-91953000,1537000,-9607000,-9235000,,,,,,
IGBR5,IGBR5,PNA,GRADIENTE PNA,Exploração de Imóveis,Exploração de Imóveis,18.90,2007-02-12,0.00,0.00,0,23625000,543077000,2021-06-30,1250000,-026,-002,-025,474,018,-006,-002,0.0%,-590,-576,-4.2%,-7356,-82080,99.7%,-1890.2%,-1844.2%,-72.9%,-80.0%,9.0%,003,-051,004,129342000,5256000,11436000,524708000,519452000,-1026000000,4986000,-94245000,-91953000,1537000,-9607000,-9235000,,,,,,
IGBR6,IGBR6,PNB,GRADIENTE PNB,Exploração de Imóveis,Exploração de Imóveis,19.00,2007-04-26,0.00,0.00,0,23750000,543202000,2021-06-30,1250000,-026,-002,-025,476,018,-006,-002,0.0%,-590,-576,-4.2%,-7356,-82080,99.7%,-1890.2%,-1844.2%,-72.9%,-80.0%,9.0%,003,-051,004,129342000,5256000,11436000,524708000,519452000,-1026000000,4986000,-94245000,-91953000,1537000,-9607000,-9235000,,,,,,
