,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m
TCSL4,TCSL4,PN,TIM PARTICIPAÇÕES S.A. PN,Telecomunicações,Telecomunicações,7.82,2011-08-02,0.00,0.00,0,18932500000,18691200000,2020-06-30,2421030000,995,083,569,111,048,893,-220,0.0%,218,561,2.3%,079,944,56.5%,19.4%,11.1%,8.4%,9.7%,8.3%,134,014,043,39831200000,3329710000,8359060000,3088450000,-241258000,22847800000,17126000000,3328920000,1902120000,3987110000,712559000,260290000,,,,,,
TDBH3,TDBH3,ON,TELEFÔNICA EMPRESAS S.A ON,,,0.56,2006-08-29,0.00,0.00,0,599846000,721540000,2006-06-30,1071150000000,-1581,108,740,077,069,-522,-480,0.0%,891,891,35.7%,-004,052,34.0%,10.4%,-4.9%,9.3%,10.5%,-6.8%,063,027,090,871466000,29469000,192344000,151163000,121694000,554115000,780335000,81020000,-37944000,199802000,26108000,6695000,,,,,,
TDBH4,TDBH4,PN,TELEFÔNICA EMPRESAS S.A PN,,,0.66,2006-08-29,0.00,0.00,0,706961000,828655000,2006-06-30,1071150000000,-1863,128,873,091,081,-615,-566,0.0%,1023,1023,35.7%,-004,052,34.0%,10.4%,-4.9%,9.3%,10.5%,-6.8%,063,027,090,871466000,29469000,192344000,151163000,121694000,554115000,780335000,81020000,-37944000,199802000,26108000,6695000,,,,,,
TECN3,TECN3,ON NM,TECHNOS ON NM,"Tecidos, Vestuário e Calçados",Acessórios,2.25,2022-01-25,1.17,3.91,3413650,176638000,198654000,2021-09-30,78506000,1375,055,284,055,027,063,231,3.6%,405,319,-4.2%,016,412,51.7%,19.5%,4.0%,9.6%,13.1%,4.0%,341,042,049,644655000,113232000,397799000,135248000,22016000,323227000,318484000,62209000,12848000,80542000,14525000,6432000,,,,,,
TEFC11,TEFC11,DR3,TELEFÓNICA DR3,,,35.50,2011-07-22,0.00,0.00,0,69083000,123380000000,2011-06-30,1946000,000,000,000,000,000,-000,-000,0.0%,345,345,12.9%,1100980,2356420,58.7%,23.5%,14.2%,12.7%,14.9%,46.7%,061,295,054,280524000000,11755000000,45376000000,135066000000,123311000000,45856000000,151883000000,35748000000,21425000000,34569000000,6982000000,3378000000,,,,,,
TEKA3,TEKA3,ON,TEKA S.A. ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,26.10,2022-01-25,26.10,67.80,127,13128300,584599000,2021-09-30,503000,-011,-001,6467,006,001,-001,-000,0.0%,12957,287980,9.0%,-23989,-353453,16.9%,0.1%,-56.5%,0.0%,0.0%,6.8%,004,-032,021,1035480000,266000,95716000,571737000,571471000,-1777870000,213739000,203000,-120663000,61822000,983000,-32685000,,,,,,
TEKA4,TEKA4,PN,TEKA S.A. PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,8.81,2022-01-25,8.40,24.49,21123,4431430,575902000,2021-09-30,503000,-004,-000,2183,002,000,-000,-000,0.0%,12764,283696,9.0%,-23989,-353453,16.9%,0.1%,-56.5%,0.0%,0.0%,6.8%,004,-032,021,1035480000,266000,95716000,571737000,571471000,-1777870000,213739000,203000,-120663000,61822000,983000,-32685000,,,,,,
TELB3,TELB3,ON,TELEBRAS ON,Telecomunicações,Telecomunicações,40.00,2022-01-24,37.16,85.54,23107,2714600000,1998540000,2021-09-30,67865000,-1889,188,-786,1013,068,248,-216,0.0%,-2131,-578,70.1%,-212,2130,-91.9%,-129.0%,-53.6%,-8.6%,-11.4%,-9.9%,593,016,007,4020150000,945480000,1316270000,229422000,-716058000,1445520000,267868000,-345585000,-143690000,65537000,-89969000,-49759000,,,,,,
TELB4,TELB4,PN,TELEBRAS PN,Telecomunicações,Telecomunicações,15.60,2022-01-25,13.82,34.65,64725,1058690000,342636000,2021-09-30,67865000,-737,073,-306,395,026,097,-084,0.0%,-365,-099,70.1%,-212,2130,-91.9%,-129.0%,-53.6%,-8.6%,-11.4%,-9.9%,593,016,007,4020150000,945480000,1316270000,229422000,-716058000,1445520000,267868000,-345585000,-143690000,65537000,-89969000,-49759000,,,,,,
TEMP3,TEMP3,ON,TEMPO PART ON,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,4.15,2016-04-29,0.00,0.00,0,668071000,602113000,2015-12-31,160981000,1164,492,1060,098,201,998,1939,0.0%,774,955,-13.1%,036,084,48.0%,9.2%,8.4%,19.0%,34.5%,42.3%,141,023,205,331768000,97515000,230481000,31557000,-65958000,135736000,681735000,63033000,57381000,164177000,42244000,3362000,,,,,,
TEND3,TEND3,ON NM,Tenda ON NM,Construção Civil,Incorporações,16.28,2022-01-25,14.35,29.19,18785000,1698720000,1996720000,2021-09-30,104344000,1140,115,512,063,037,100,-554,1.1%,545,602,19.6%,143,1419,26.8%,12.2%,5.4%,7.2%,9.6%,10.1%,256,090,059,4580950000,1041820000,2786960000,1339820000,298002000,1480680000,2708640000,331586000,149017000,721164000,45715000,6430000,,,,,,
TENE5,TENE5,PNA,TECBLU PNA,"Tecidos, Vestuário e Calçados",Fios e Tecidos,0.50,2016-05-16,0.00,0.00,0,60500,60500,2021-09-30,121000,-001,-000,-007,-,000,-024,-000,0.0%,-017,-007,-,-8452,-73823,-,-,0.0%,-5.2%,-5.3%,11.4%,001,-,-,16554000,0,3000,0,0,-89326000,0,-866000,-10227000,0,-229000,-2882000,,,,,,
TENE7,TENE7,PNC,TECBLU PNC,"Tecidos, Vestuário e Calçados",Fios e Tecidos,9.80,2017-02-08,0.00,0.00,0,1185800,1185800,2021-09-30,121000,-012,-001,-137,-,007,-465,-001,0.0%,-326,-137,-,-8452,-73823,-,-,0.0%,-5.2%,-5.3%,11.4%,001,-,-,16554000,0,3000,0,0,-89326000,0,-866000,-10227000,0,-229000,-2882000,,,,,,
TERI3,TERI3,ON NM,TEREOS ON NM,Alimentos Processados,Alimentos Diversos,64.28,2016-09-26,0.00,0.00,0,1051240000,5776240000,2016-06-30,16354000,-883,029,720,011,008,790,-026,0.0%,3956,3956,7.9%,-728,22264,17.2%,1.5%,-1.9%,1.1%,1.2%,-3.3%,103,143,075,13055000000,486000000,4190000000,5211000000,4725000000,3641000000,9822000000,146000000,-119000000,2459000000,78000000,65000000,,,,,,
TESA3,TESA3,ON NM,TERRA SANTA ON NM,Agropecuária,Agricultura,48.00,2021-07-30,26.48,50.80,0,1389700000,2252460000,2021-06-30,28952000,-1330,162,941,101,052,-1110,-135,0.0%,1009,1525,15.5%,-361,2964,15.9%,10.7%,-7.6%,5.6%,6.4%,-12.2%,086,104,052,2654670000,29688000,767448000,892457000,862769000,858223000,1379410000,147730000,-104516000,260263000,17022000,-7731000,,,,,,
TFCO4,TFCO4,PN,TRACK FIELD PN,"Tecidos, Vestuário e Calçados",Vestuário,11.13,2022-01-25,10.31,16.37,2665340,1777660000,1791910000,2021-09-30,159718000,2822,724,2197,440,423,778,1178,5.3%,2137,2215,-,039,154,59.6%,20.0%,15.6%,19.2%,25.3%,25.6%,335,032,096,420609000,63200000,325904000,77453000,14253000,245575000,404452000,80911000,62989000,124781000,22854000,21468000,,,,,,
TGMA3,TGMA3,ON NM,Tegma ON NM,Transporte,Transporte Rodoviário,14.24,2022-01-25,12.88,25.73,5298770,939883000,921746000,2021-09-30,66003000,875,141,764,093,093,341,728,5.5%,636,749,-1.2%,163,1013,19.1%,12.1%,10.6%,12.1%,16.3%,16.1%,239,030,100,1014020000,221421000,473722000,203284000,-18137000,668634000,1015380000,123007000,107433000,231439000,24150000,34237000,,,,,,
TIET11,TIET11,UNT N2,AES TIETE E UNT N2,Energia Elétrica,Energia Elétrica,17.44,2021-03-26,15.38,17.44,0,6960420000,12163000000,2021-09-30,1995530000,609,313,502,301,064,143452,-105,0.1%,662,878,7.8%,287,557,74.7%,59.9%,49.9%,12.7%,14.0%,51.4%,100,267,021,10917500000,730147000,1213660000,5932720000,5202570000,2222740000,2312080000,1385560000,1143520000,661705000,-37409000,423784000,,,,,,
TIET3,TIET3,ON N2,AES TIETE E ON N2,Energia Elétrica,Energia Elétrica,3.49,2021-03-26,3.10,3.49,0,6964410000,12167000000,2021-09-30,1995530000,609,313,503,301,064,143534,-105,0.1%,663,878,7.8%,057,111,74.7%,59.9%,49.9%,12.7%,14.0%,51.4%,100,267,021,10917500000,730147000,1213660000,5932720000,5202570000,2222740000,2312080000,1385560000,1143520000,661705000,-37409000,423784000,,,,,,
TIET4,TIET4,PN N2,AES TIETE E PN N2,Energia Elétrica,Energia Elétrica,3.51,2021-03-26,3.09,3.51,0,7004320000,12206900000,2021-09-30,1995530000,613,315,506,303,064,144357,-105,0.1%,665,881,7.8%,057,111,74.7%,59.9%,49.9%,12.7%,14.0%,51.4%,100,267,021,10917500000,730147000,1213660000,5932720000,5202570000,2222740000,2312080000,1385560000,1143520000,661705000,-37409000,423784000,,,,,,
TIMP3,TIMP3,ON,TIM PARTICIPAÇÕES S.A. ON,Telecomunicações,Telecomunicações,13.46,2020-10-09,12.20,16.80,0,32587100000,32345800000,2020-06-30,2421030000,1713,143,979,190,082,1537,-378,0.0%,377,972,2.3%,079,944,56.5%,19.4%,11.1%,8.4%,9.7%,8.3%,134,014,043,39831200000,3329710000,8359060000,3088450000,-241258000,22847800000,17126000000,3328920000,1902120000,3987110000,712559000,260290000,,,,,,
TIMS3,TIMS3,ON NM,TIM ON NM,Telecomunicações,Telecomunicações,12.97,2022-01-25,10.99,14.14,74438600,31397800000,27440100000,2021-09-30,2420800000,1062,127,957,175,071,543,-467,3.3%,308,836,4.4%,122,1018,53.2%,18.3%,16.5%,7.5%,9.7%,12.0%,185,014,041,43978500000,7372410000,12611100000,3414670000,-3957740000,24641800000,17936600000,3280760000,2955300000,4511810000,811971000,992769000,,,,,,
TKNO4,TKNO4,PN,TEKNO PN,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,51.00,2022-01-07,38.30,66.40,1921,150348000,159577000,2021-09-30,2948000,256,063,323,052,044,120,133,7.0%,312,343,22.9%,1993,8148,27.3%,16.0%,20.2%,13.5%,16.1%,24.5%,237,014,084,344756000,24549000,217499000,33778000,9229000,240202000,290687000,46476000,58764000,92884000,15840000,29703000,,,,,,
TLCP3,TLCP3,ON,TELE LESTE CELULAR PARTICIPAÇÕES SA ON,,,48.00,2006-03-30,0.00,0.00,0,462912000,762921000,2005-12-31,9644000,-502,176,-2661,082,053,-276,-133,0.0%,-4386,-4386,9.1%,-956,2727,45.0%,-3.1%,-16.4%,-2.0%,-2.5%,-35.0%,061,121,065,868040000,17003000,257318000,317012000,300009000,262979000,561828000,-17393000,-92149000,143132000,-18046000,-37655000,,,,,,
TLCP4,TLCP4,PN,TELE LESTE CELULAR PARTICIPAÇÕES SA PN,,,34.11,2006-03-30,0.00,0.00,0,328957000,628966000,2005-12-31,9644000,-357,125,-1891,059,038,-196,-095,0.0%,-3616,-3616,9.1%,-956,2727,45.0%,-3.1%,-16.4%,-2.0%,-2.5%,-35.0%,061,121,065,868040000,17003000,257318000,317012000,300009000,262979000,561828000,-17393000,-92149000,143132000,-18046000,-37655000,,,,,,
TMAR3,TMAR3,ON,TELEMAR ON,,,62.00,2012-04-05,0.00,0.00,0,21358800000,36585000000,2011-12-31,344497000,16616,104,596,077,027,220,-074,0.0%,396,1021,14.8%,037,5936,41.9%,12.8%,-0.4%,4.5%,5.8%,0.6%,162,138,035,79800900000,13067600000,25319800000,28293800000,15226100000,20448500000,27907000000,3584370000,128545000,6957660000,595914000,-599565000,,,,,,
TMAR5,TMAR5,PNA,TELEMAR PNA,,,42.67,2012-04-05,0.00,0.00,0,14699700000,29925800000,2011-12-31,344497000,11435,072,410,053,018,151,-051,0.0%,324,835,14.8%,037,5936,41.9%,12.8%,-0.4%,4.5%,5.8%,0.6%,162,138,035,79800900000,13067600000,25319800000,28293800000,15226100000,20448500000,27907000000,3584370000,128545000,6957660000,595914000,-599565000,,,,,,
TMAR6,TMAR6,PNB,TELEMAR PNB,,,42.01,2012-03-09,0.00,0.00,0,14472300000,29698500000,2011-12-31,344497000,11259,071,404,052,018,149,-050,0.0%,321,829,14.8%,037,5936,41.9%,12.8%,-0.4%,4.5%,5.8%,0.6%,162,138,035,79800900000,13067600000,25319800000,28293800000,15226100000,20448500000,27907000000,3584370000,128545000,6957660000,595914000,-599565000,,,,,,
TMCP3,TMCP3,ON,TELEMIG CELULAR PARTICIPAÇÕES S.A. ON,,,56.00,2009-09-03,0.00,0.00,0,2486510000,2017230000,2009-06-30,44402000,1858,138,2425,153,094,385,474,0.0%,1968,1968,10.5%,301,4051,37.8%,6.3%,9.8%,3.9%,5.5%,7.4%,230,003,061,2655000000,527705000,1144580000,58424000,-469281000,1798930000,1630340000,102527000,133838000,393020000,13130000,26056000,,,,,,
TMCP4,TMCP4,PN,TELEMIG CELULAR PARTICIPAÇÕES S.A. PN,,,58.20,2009-09-04,0.00,0.00,0,2584200000,2114920000,2009-06-30,44402000,1931,144,2521,159,097,400,492,0.0%,2063,2063,10.5%,301,4051,37.8%,6.3%,9.8%,3.9%,5.5%,7.4%,230,003,061,2655000000,527705000,1144580000,58424000,-469281000,1798930000,1630340000,102527000,133838000,393020000,13130000,26056000,,,,,,
TMGC11,TMGC11,PNE,TELEMIG CELULAR PNE,,,900.00,2009-07-20,0.00,0.00,0,2134800000,1993210000,2009-06-30,2372000,1426,183,2008,131,126,762,1346,0.0%,1875,1875,10.5%,6311,49199,37.8%,6.5%,9.2%,6.3%,8.7%,12.8%,169,005,096,1693780000,200009000,685404000,58424000,-141585000,1167010000,1630340000,106290000,149697000,393020000,14392000,24545000,,,,,,
TMGC12,TMGC12,PNF,TELEMIG CELULAR PNF,,,550.00,2009-04-29,0.00,0.00,0,1304600000,1163020000,2009-06-30,2372000,871,112,1227,080,077,466,822,0.0%,1094,1094,10.5%,6311,49199,37.8%,6.5%,9.2%,6.3%,8.7%,12.8%,169,005,096,1693780000,200009000,685404000,58424000,-141585000,1167010000,1630340000,106290000,149697000,393020000,14392000,24545000,,,,,,
TMGC13,TMGC13,PNG,TELEMIG CELULAR PNG,,,966.14,2009-08-07,0.00,0.00,0,2291680000,2150100000,2009-06-30,2372000,1531,196,2156,141,135,818,1445,0.0%,2023,2023,10.5%,6311,49199,37.8%,6.5%,9.2%,6.3%,8.7%,12.8%,169,005,096,1693780000,200009000,685404000,58424000,-141585000,1167010000,1630340000,106290000,149697000,393020000,14392000,24545000,,,,,,
TMGC3,TMGC3,ON,TELEMIG CELULAR ON,,,1500.00,2009-03-10,0.00,0.00,0,3558000000,3416420000,2009-06-30,2372000,2377,305,3347,218,210,1270,2243,0.0%,3214,3214,10.5%,6311,49199,37.8%,6.5%,9.2%,6.3%,8.7%,12.8%,169,005,096,1693780000,200009000,685404000,58424000,-141585000,1167010000,1630340000,106290000,149697000,393020000,14392000,24545000,,,,,,
TMGC7,TMGC7,PNC,TELEMIG CELULAR PNC,,,800.01,2009-08-14,0.00,0.00,0,1897620000,1756040000,2009-06-30,2372000,1268,163,1785,116,112,677,1196,0.0%,1652,1652,10.5%,6311,49199,37.8%,6.5%,9.2%,6.3%,8.7%,12.8%,169,005,096,1693780000,200009000,685404000,58424000,-141585000,1167010000,1630340000,106290000,149697000,393020000,14392000,24545000,,,,,,
TNCP3,TNCP3,ON,AMAZÔNIA CELULAR ON,,,184.85,2013-01-04,0.00,0.00,0,33019200000,33106500000,2012-09-30,178627000,1459,252,1200,313,172,5330,-2258,0.0%,883,1203,97.8%,1267,7323,50.7%,26.1%,21.4%,14.3%,16.5%,17.3%,115,009,055,19228600000,1042350000,4684770000,1129680000,87328100,13081500000,10553900000,2752680000,2262380000,2837090000,794413000,608709000,,,,,,
TNCP4,TNCP4,PN,AMAZÔNIA CELULAR PN,,,182.60,2012-12-21,0.00,0.00,0,32617300000,32704600000,2012-09-30,178627000,1442,249,1185,309,170,5265,-2230,0.0%,872,1188,97.8%,1267,7323,50.7%,26.1%,21.4%,14.3%,16.5%,17.3%,115,009,055,19228600000,1042350000,4684770000,1129680000,87328100,13081500000,10553900000,2752680000,2262380000,2837090000,794413000,608709000,,,,,,
TNEP3,TNEP3,ON,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A. ON,,,3.01,2004-10-08,0.00,0.00,0,0,-232872000,2004-06-30,0,000,000,-,-,-,-,-,0.0%,-109,-109,8.2%,000,000,53.7%,20.9%,25.4%,14.6%,20.5%,22.8%,239,006,070,1469440000,294709000,710851000,61837000,-232872000,955105000,1025180000,214472000,217738000,258997000,36022000,26567000,,,,,,
TNEP4,TNEP4,PN,TELE NORDESTE CELULAR PARTICIPAÇÕES S.A. PN,,,3.95,2004-10-08,0.00,0.00,0,0,-232872000,2004-06-30,0,000,000,-,-,-,-,-,0.0%,-109,-109,8.2%,000,000,53.7%,20.9%,25.4%,14.6%,20.5%,22.8%,239,006,070,1469440000,294709000,710851000,61837000,-232872000,955105000,1025180000,214472000,217738000,258997000,36022000,26567000,,,,,,
TNLP3,TNLP3,ON,TELEMAR ON,,,27.75,2012-04-05,0.00,0.00,0,13227300000,29449300000,2011-09-30,476661000,3539,096,463,047,017,176,-045,0.0%,1031,1031,15.4%,078,2882,38.8%,10.1%,-0.1%,3.7%,4.6%,2.7%,148,202,036,77696700000,11467400000,23188600000,27689300000,16221900000,13736000000,28246500000,2857240000,373802000,6939530000,907856000,285087000,,,,,,
TNLP4,TNLP4,PN,TELEMAR PN,,,20.36,2012-04-05,0.00,0.00,0,9704820000,25926800000,2011-09-30,476661000,2596,071,340,034,012,129,-033,0.0%,907,907,15.4%,078,2882,38.8%,10.1%,-0.1%,3.7%,4.6%,2.7%,148,202,036,77696700000,11467400000,23188600000,27689300000,16221900000,13736000000,28246500000,2857240000,373802000,6939530000,907856000,285087000,,,,,,
TOTS3,TOTS3,ON NM,TOTVS ON NM,Programas e Serviços,Programas e Serviços,26.38,2022-01-25,24.17,40.44,134239000,16281300000,15392800000,2021-09-30,617183000,4728,389,1318,538,173,871,-5738,1.1%,1038,1246,7.3%,056,679,70.6%,40.8%,11.4%,13.1%,18.8%,8.2%,161,045,032,9425290000,2753020000,4953790000,1864530000,-888486000,4187760000,3027660000,1235490000,344355000,854538000,342569000,88920000,,,,,,
TOYB3,TOYB3,ON,TEC TOY ON,,,2.29,2019-07-31,1.83,2.42,0,68846600,69817600,2019-03-31,30064000,-4394,-497,-828,481,403,-593,-350,0.0%,-887,-839,-27.0%,-005,-046,24.1%,-58.2%,-11.0%,-48.7%,-59.4%,11.3%,049,-007,084,17064000,52000,11272000,1023000,971000,-13852000,14299000,-8317000,-1567000,992000,-2856000,-2697000,,,,,,
TOYB4,TOYB4,PN,TEC TOY PN,,,2.50,2019-08-01,1.75,2.50,0,75160000,76131000,2019-03-31,30064000,-4796,-543,-904,526,440,-647,-383,0.0%,-967,-915,-27.0%,-005,-046,24.1%,-58.2%,-11.0%,-48.7%,-59.4%,11.3%,049,-007,084,17064000,52000,11272000,1023000,971000,-13852000,14299000,-8317000,-1567000,992000,-2856000,-2697000,,,,,,
TPIS3,TPIS3,ON NM,TRIUNFO PARTICIPACOES SA ON NM,Transporte,Exploração de Rodovias,1.93,2022-01-25,1.54,4.83,2707570,339680000,1950110000,2021-09-30,176000000,117,036,-1685,032,010,-097,-016,2.1%,468,-9674,-9.6%,165,530,11.6%,-1.9%,27.0%,-0.6%,-0.7%,31.2%,038,183,032,3237580000,97257000,211934000,1707680000,1610430000,932497000,1051070000,-20159000,290867000,287990000,69006000,88763000,,,,,,
TPRC3,TPRC3,ON,TIM PARTICIPAÇÕES S.A. ON,Telecomunicações,Telecomunicações,113.50,2005-07-05,0.00,0.00,0,274787000,33529200,2020-06-30,2421030000,014,001,008,002,001,013,-003,0.0%,000,001,2.3%,78567,943720,56.5%,19.4%,11.1%,8.4%,9.7%,8.3%,134,014,043,39831200000,3329710000,8359060000,3088450000,-241258000,22847800000,17126000000,3328920000,1902120000,3987110000,712559000,260290000,,,,,,
TPRC6,TPRC6,PNB,TIM PARTICIPAÇÕES S.A. PNB,Telecomunicações,Telecomunicações,105.00,2005-07-06,0.00,0.00,0,254208000,12950400,2020-06-30,2421030000,013,001,008,001,001,012,-003,0.0%,000,000,2.3%,78567,943720,56.5%,19.4%,11.1%,8.4%,9.7%,8.3%,134,014,043,39831200000,3329710000,8359060000,3088450000,-241258000,22847800000,17126000000,3328920000,1902120000,3987110000,712559000,260290000,,,,,,
TRAD3,TRAD3,ON NM,TC ON NM,Programas e Serviços,Programas e Serviços,4.37,2022-01-25,4.18,13.21,13808600,1230800000,713410000,2021-09-30,281647000,000,194,-,-,182,241,243,0.0%,-,-,-,000,226,-,-,-,0.0%,-,-,1574,001,-,675333000,525880000,545579000,8492000,-517388000,635506000,0,0,0,25207000,-5919000,11438000,,,,,,
TRFO3,TRFO3,ON,TRAFO ON,,,4.53,2009-12-16,0.00,0.00,0,196502000,182299000,2009-09-30,43378000,1032,258,552,080,104,465,737,0.0%,512,512,16.5%,044,176,30.3%,14.6%,7.8%,18.8%,27.6%,25.0%,143,026,129,189044000,33862000,139529000,19659000,-14203000,76165000,244290000,35610000,19048000,53341000,9001000,5743000,,,,,,
TRFO4,TRFO4,PN,TRAFO PN,,,4.70,2010-02-02,0.00,0.00,0,203877000,189674000,2009-09-30,43378000,1070,268,573,083,108,482,765,0.0%,533,533,16.5%,044,176,30.3%,14.6%,7.8%,18.8%,27.6%,25.0%,143,026,129,189044000,33862000,139529000,19659000,-14203000,76165000,244290000,35610000,19048000,53341000,9001000,5743000,,,,,,
TRIS3,TRIS3,ON NM,Trisul ON NM,Construção Civil,Incorporações,5.93,2022-01-25,5.16,11.17,9442720,1106640000,1310130000,2021-09-30,186618000,696,089,596,129,048,088,151,4.1%,702,705,22.8%,085,665,37.6%,21.7%,20.5%,8.0%,9.9%,12.8%,350,048,037,2321400000,394194000,1756130000,597678000,203484000,1241240000,856127000,185709000,159088000,190230000,40267000,33100000,,,,,,
TROR3,TROR3,ON,TRORION ON,,,2.63,2008-08-07,0.00,0.00,0,14202000,1575190000,2007-06-30,5400000,-003,-001,-657,060,053,-001,-001,0.0%,-72892,-72892,6.3%,-7672,-36290,4.9%,-9.1%,-1745.5%,-8.1%,-9.8%,21.1%,001,-080,089,26688000,4000,17901000,1560990000,1560990000,-1959650000,23734000,-2161000,-414281000,5210000,-126000,-87023000,,,,,,
TROR4,TROR4,PN,TRORION PN,,,1.56,2010-02-08,0.00,0.00,0,8424000,1569410000,2007-06-30,5400000,-002,-000,-390,035,032,-000,-000,0.0%,-72624,-72624,6.3%,-7672,-36290,4.9%,-9.1%,-1745.5%,-8.1%,-9.8%,21.1%,001,-080,089,26688000,4000,17901000,1560990000,1560990000,-1959650000,23734000,-2161000,-414281000,5210000,-126000,-87023000,,,,,,
TRPL3,TRPL3,ON N1,TRANSMISSÃO PAULISTA ON N1,Energia Elétrica,Energia Elétrica,30.16,2022-01-25,25.82,33.50,85806,19871900000,25068900000,2021-09-30,658883000,530,137,458,452,070,916,-209,11.9%,575,578,15.7%,569,2207,69.8%,98.7%,85.6%,15.4%,16.1%,25.8%,238,044,016,28193900000,1207460000,3738590000,6404470000,5197020000,14543000000,4398100000,4339520000,3752300000,1497670000,1032060000,723097000,,,,,,
TRPL4,TRPL4,PN N1,TRANSMISSÃO PAULISTA PN N1,Energia Elétrica,Energia Elétrica,24.00,2022-01-25,21.06,25.41,25243600,15813200000,21010200000,2021-09-30,658883000,421,109,364,360,056,729,-166,15.0%,482,484,15.7%,569,2207,69.8%,98.7%,85.6%,15.4%,16.1%,25.8%,238,044,016,28193900000,1207460000,3738590000,6404470000,5197020000,14543000000,4398100000,4339520000,3752300000,1497670000,1032060000,723097000,,,,,,
TRPN3,TRPN3,ON NM,TARPON INV ON NM,Holdings Diversificadas,Holdings Diversificadas,0.71,2019-07-17,0.32,0.80,0,32163000,-31287000,2019-03-31,45300000,044,054,036,026,040,059,059,104.7%,-035,-035,5.8%,160,131,100.0%,72.3%,59.3%,109.7%,523.0%,122.4%,361,-,152,80698000,63450000,75453000,0,-63450000,59358000,122503000,88546000,72627000,5771000,1741000,12900000,,,,,,
TSEP3,TSEP3,ON,TELE SUDESTE CELULAR PART SA ON,,,40.00,2006-03-30,0.00,0.00,0,3673240000,3218790000,2005-12-31,91831000,3305,179,2044,177,125,524,611,0.0%,1791,1791,4.5%,121,2229,50.1%,8.6%,5.3%,6.1%,9.1%,5.4%,188,-,071,2939660000,454449000,1493390000,0,-454449000,2047020000,2077950000,179731000,111150000,572675000,62410000,33188000,,,,,,
TSEP4,TSEP4,PN,TELE SUDESTE CELULAR PART SA PN,,,29.01,2006-03-30,0.00,0.00,0,2664020000,2209570000,2005-12-31,91831000,2397,130,1482,128,091,380,443,0.0%,1229,1229,4.5%,121,2229,50.1%,8.6%,5.3%,6.1%,9.1%,5.4%,188,-,071,2939660000,454449000,1493390000,0,-454449000,2047020000,2077950000,179731000,111150000,572675000,62410000,33188000,,,,,,
TSPP3,TSPP3,ON,VIVO PARTICIPAÇÕES ON,,,12.60,2006-03-30,0.00,0.00,0,5049000000,6927760000,2011-06-30,400714000,172,051,119,026,023,-559,-091,0.0%,163,163,13.1%,732,2450,54.1%,22.0%,15.2%,18.9%,23.9%,29.9%,089,035,086,22435500000,1567410000,7055840000,3446180000,1878770000,9816290000,19298400000,4246620000,2933480000,5014990000,1078170000,757297000,,,,,,
TSPP4,TSPP4,PN,VIVO PARTICIPAÇÕES PN,,,9.05,2006-03-30,0.00,0.00,0,3626460000,5505230000,2011-06-30,400714000,124,037,085,019,016,-402,-065,0.0%,130,130,13.1%,732,2450,54.1%,22.0%,15.2%,18.9%,23.9%,29.9%,089,035,086,22435500000,1567410000,7055840000,3446180000,1878770000,9816290000,19298400000,4246620000,2933480000,5014990000,1078170000,757297000,,,,,,
TTEN3,TTEN3,ON NM,3TENTOS ON NM,Agropecuária,Agricultura,9.25,2022-01-25,6.90,12.15,7530760,4570590000,4142700000,2021-09-30,494118000,000,221,-,-,105,302,360,0.0%,-,-,-,000,418,-,-,-,0.0%,-,-,174,044,-,4353140000,1329760000,3555880000,901874000,-427887000,2065190000,0,0,0,1729540000,103215000,97935000,,,,,,
TUPY3,TUPY3,ON,TUPY ON,Material de Transporte,Material Rodoviário,20.10,2022-01-25,18.92,25.98,12143100,2897980000,3884010000,2021-09-30,144178000,1272,108,518,046,045,126,16209,2.1%,425,694,11.2%,158,1866,16.5%,8.9%,3.6%,8.6%,12.3%,8.5%,254,077,097,6471850000,1091720000,3798970000,2077750000,986030000,2690750000,6293340000,559773000,227833000,1833810000,217276000,125150000,,,,,,
