,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m,RankEV_Ebit,RankROIC,volumeDiario,Rankfim
CCRO3,CCRO3,ON NM,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,Transporte,Exploração de Rodovias,12.15,2022-01-25,10.74,13.99,122714000,24543000000,40600200000,2021-09-30,2020000000,3255,288,736,204,062,587,-125,1.4%,631,1.217,3.5%,037,422,38.9%,27.8%,7.3%,8.5%,10.9%,8.8%,162,285,030,39416600000,8257790000,10890700000,24315000000,16057200000,8522990000,12004000000,3335430000,753996000,2843310000,872354000,183913000,,,,,,,82.5,185.0,3067850.0,267.5
AGRO3,AGRO3,ON NM,BRASILAGRO ON NM,Agropecuária,Agricultura,26.73,2022-01-25,19.76,32.85,16196500,2736540000,2342390000,2021-09-30,102377000,745,118,559,186,077,223,393,9.8%,346,0.479,49.0%,359,2271,38.6%,33.2%,24.9%,13.7%,23.3%,15.8%,272,034,041,3569020000,1192780000,1940570000,798628000,-394148000,2324940000,1472530000,489195000,367393000,532691000,132424000,125401000,,,,,,,172.0,96.0,404912.5,268.0
MOVI3,MOVI3,ON NM,MOVIDA ON NM,Diversos,Aluguel de carros,15.53,2022-01-25,13.40,22.62,36490100,5626550000,11343500000,2021-09-30,362302000,775,177,443,123,029,079,-079,2.1%,708,0.892,20.6%,200,877,39.4%,27.7%,15.9%,6.4%,12.6%,22.9%,410,440,023,19735800000,8274310000,9415680000,13991300000,5716960000,3178130000,4582330000,1271180000,726369000,1575240000,532236000,259381000,,,,,,,109.0,163.0,912252.5,272.0
USIM3,USIM3,ON N1,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,14.48,2022-01-25,11.59,22.48,9453700,18144600000,16929300000,2021-09-30,1253080000,221,090,184,058,047,128,365,9.0%,156,0.172,27.1%,656,1609,34.7%,31.6%,30.4%,25.3%,34.0%,40.8%,308,030,080,38918400000,7293500000,20948600000,6078220000,-1215280000,20164300000,31162000000,9837240000,8221180000,9025650000,2820840000,1562220000,,,,,,,200.0,74.0,236342.5,274.0
SLCE3,SLCE3,ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,46.09,2022-01-25,30.46,51.36,55492600,9790560000,12033200000,2021-09-30,212423000,919,272,603,175,076,813,-262,2.1%,684,0.7409999999999999,25.0%,502,1692,36.3%,29.0%,20.2%,12.7%,14.8%,29.6%,130,083,044,12825400000,725420000,5245360000,2968070000,2242650000,3595110000,5607870000,1624910000,1065800000,1143490000,88603000,121012000,,,,,,,132.0,147.5,1387315.0,279.5
ESPA3,ESPA3,ON NM,ESPACOLASER ON NM,Comércio,Produtos Diversos,6.11,2022-01-25,5.98,21.50,25149600,1492280000,2111410000,2021-09-30,244236000,543,216,710,198,068,869,-256,2.3%,755,1.0050000000000001,-,112,283,50.5%,27.9%,37.4%,9.6%,11.1%,39.7%,123,129,034,2190520000,270858000,914471000,889989000,619131000,691061000,753899000,210192000,274671000,104268000,-41052000,8116000,,,,,,,101.0,180.0,628740.0,281.0
PTBL3,PTBL3,ON,PORTOBELLO S/A ON,Construção e Engenharia,Produtos para Construção,8.51,2022-01-25,6.83,17.97,8871820,1255480000,1744830000,2021-09-30,147530000,640,336,413,070,056,458,-156,13.5%,463,0.5740000000000001,14.0%,133,253,41.6%,16.9%,10.9%,13.7%,18.5%,52.5%,136,220,081,2223590000,332911000,1043810000,822262000,489351000,373390000,1801160000,304175000,196080000,519380000,100070000,80668000,,,,,,,161.0,122.0,221795.5,283.0
FHER3,FHER3,ON NM,Fer Heringer ON NM,Químicos,Fertilizantes e Defensivos,16.50,2022-01-25,3.90,46.77,25759300,888641000,1384290000,2021-09-30,53857000,312,982,179,026,036,162,-113,0.0%,264,0.279,-14.0%,528,168,20.1%,14.4%,8.3%,20.3%,23.3%,314.4%,154,560,141,2444080000,10934000,1566170000,506585000,495651000,90470000,3445400000,496192000,284417000,1314420000,248965000,101317000,,,,,,,189.0,96.0,643982.5,285.0
ROMI3,ROMI3,ON,ROMI ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,15.87,2022-01-25,14.55,36.67,15774400,1163810000,1581980000,2021-09-30,73334000,494,127,619,089,061,207,734,4.9%,685,0.841,17.9%,321,1253,32.4%,14.5%,18.1%,9.9%,11.5%,25.6%,198,058,068,1900180000,113471000,1137980000,531639000,418168000,919233000,1301310000,188144000,235471000,366577000,54846000,85747000,,,,,,,114.0,174.5,394360.0,288.5
JBSS3,JBSS3,ON NM,JBS ON NM,Alimentos Processados,Carnes e Derivados,36.14,2022-01-25,21.82,38.19,341091000,85791600000,145673000000,2021-09-30,2373870000,476,184,320,026,044,312,-129,8.8%,411,0.5429999999999999,19.4%,760,1961,17.7%,8.1%,5.5%,13.7%,18.6%,38.7%,153,181,168,196027000000,24479000000,79367900000,84360300000,59881200000,46554500000,329563000000,26838900000,18032900000,92625300000,10806400000,7585570000,,,,,,,168.0,121.0,8527275.0,289.0
